(  1 ,  1 )에서 3 방향으로
(  2 ,  2 )에서 1 방향으로
(  1 ,  3 )에서 2 방향으로
(  1 ,  4 )에서 2 방향으로
(  1 ,  5 )에서 2 방향으로
(  1 ,  6 )에서 3 방향으로
(  2 ,  7 )에서 3 방향으로
(  3 ,  8 )에서 3 방향으로
(  4 ,  9 )에서 5 방향으로
(  5 ,  8 )에서 5 방향으로
(  6 ,  7 )에서 3 방향으로
(  7 ,  8 )에서 5 방향으로
(  8 ,  7 )에서 3 방향으로
(  9 ,  8 )에서 3 방향으로
( 10 ,  9 )에서 4 방향으로
( 11 ,  9 )에서 3 방향으로
( 12 , 10 )에서 3 방향으로
( 13 , 11 )에서 1 방향으로
( 12 , 12 )에서 3 방향으로
( 13 , 13 )에서 3 방향으로
( 14 , 14 )에서 2 방향으로
( 14 , 15 )에서 1 방향으로
( 13 , 16 )에서 2 방향으로
( 13 , 17 )에서 3 방향으로
( 14 , 18 )에서 4 방향으로
결승점( 15 , 18 ) 도달
